code,name,raw
1439,CENOURA KG,1439 - CENOURA KG
1632,LIMAO TAITI KG,1632 - LIMAO TAITI KG
1643,Tomate Kg,1643 - Tomate Kg
1660,LARANJA PERA KG,1660 - LARANJA PERA KG
6637,BATATA LAVADA KG,6637 - BATATA LAVADA KG
28212,PIMENTAO VERDE kg,28212 - PIMENTAO VERDE kg
106086,BANANA PRATA KG.,106086 - BANANA PRATA KG.
157115,BANANA NANICA KG,157115 - BANANA NANICA KG
282589,Cebola Kg,282589 - Cebola Kg
343852,BETERRABA KG.,343852 - BETERRABA KG.
78908901,REFRI COCA COLA PET 200ML,78908901 - REFRI COCA COLA PET 200ML
78933873,REFRIGERANTE SEM AÇÚCAR COCA COLA GARRAFA 200ML,78933873 - REFRIGERANTE SEM AÇÚCAR COCA COLA GARRAFA 200ML
70847022015,ENERGETICO TRADICIONAL MONSTER EM LATA DE 473ML,70847022015 - ENERGETICO TRADICIONAL MONSTER EM LATA DE 473ML
70847022206,ENERGÉTICO MONSTER ULTRA LATA 473ML,70847022206 - ENERGÉTICO MONSTER ULTRA LATA 473ML
70847022305,ENERGÉTICO DIET MONSTER ABSOLUTELY ZERO LATA 473ML,70847022305 - ENERGÉTICO DIET MONSTER ABSOLUTELY ZERO LATA 473ML
70847033301,ENERGÉTICO JUICE MONSTER MANGO LOCO LATA 473ML,70847033301 - ENERGÉTICO JUICE MONSTER MANGO LOCO LATA 473ML
70847033929,ENERG MONSTER ULTRA VIOLET 473ML,70847033929 - ENERG MONSTER ULTRA VIOLET 473ML
611269101713,ENERG RED BULL SUGAR FREE 250ML,611269101713 - ENERG RED BULL SUGAR FREE 250ML
611269991000,ENERGETICO TRADICONAL RED BULL EM LATA DE 250ML,611269991000 - ENERGETICO TRADICONAL RED BULL EM LATA DE 250ML
1220000250222,ENERG MONSTER ULTRA WATERMELON 473ML,1220000250222 - ENERG MONSTER ULTRA WATERMELON 473ML
4005900521910,SABON NIVEA LEITE 85G,4005900521910 - SABON NIVEA LEITE 85G
4005900521934,SABONETE BARRA NIVEA 85GR ERVA DOCE OLEO,4005900521934 - SABONETE BARRA NIVEA 85GR ERVA DOCE OLEO
4005900521972,SABONETE BARRA NIVEA 85GR LAVANDA OLEOS,4005900521972 - SABONETE BARRA NIVEA 85GR LAVANDA OLEOS
5000267013602,WHISKY ESCOCES BLENDED RED LABEL JOHNNIE WALKER EM GARRAFA DE 1L,5000267013602 - WHISKY ESCOCES BLENDED RED LABEL JOHNNIE WALKER EM GARRAFA DE 1L
5000291020706,GIN LONDON DRY TANQUERAY GARRAFA 750ML,5000291020706 - GIN LONDON DRY TANQUERAY GARRAFA 750ML
5601216120152,AZEITE DE OLIVA EXTRA VIRGEM CLASSICO PORTUGUES ANDORINHA EM GARRAFA DE VIDRO DE 500ML,5601216120152 - AZEITE DE OLIVA EXTRA VIRGEM CLASSICO PORTUGUES ANDORINHA EM GARRAFA DE VIDRO DE 500ML
